UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2013,5,1,Native sons : a friendship that created one of the greatest works of the twentieth century : notes of a native son / James Baldwin and Sol Stein.,,"Baldwin, James, 1924-1987","Baldwin James 1924 1987 Correspondence, Baldwin James 1924 1987 Friends and associates, Authors American 20th century Correspondence, African American authors Correspondence, Stein Sol Friends and associates, Stein Sol Correspondence, Authorship Collaboration","One World,",2004.
Digital,OverDrive,AUDIOBOOK,2013,5,1,Fifty Famous Stories Retold (Unabridged),,James Baldwin,"Fiction, Historical Fiction, Short Stories",CoolBeat Audiobooks,2013
Digital,OverDrive,EBOOK,2013,5,1,Fifty Famous Stories Retold,,James Baldwin,"History, Juvenile Nonfiction","Simon & Schuster, Inc.",2013
Physical,Horizon,BOOK,2013,5,1,The amen corner : a play / by James Baldwin.,,"Baldwin, James, 1924-1987","African American churches New York State New York Drama, African American families New York State New York Drama, Harlem New York N Y Drama","Vintage Books,",1998.
Physical,Horizon,BOOK,2013,5,3,Go tell it on the mountain / James Baldwin.,,"Baldwin, James, 1924-1987","African American men Fiction, Racism United States Fiction, African American families Harlem New York N Y Fiction, African Americans Religion Fiction","Dell,","1981, c1953."
Physical,Horizon,BOOK,2013,5,4,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Physical,Horizon,BOOK,2013,5,1,Going to meet the man / by James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Race relations Fiction","Vintage Books,","1995, c1965."
Physical,Horizon,BOOK,2013,5,2,Early novels and stories / James Baldwin.,,"Baldwin, James, 1924-1987",,"Library of America,",1998.
Physical,Horizon,BOOK,2013,5,3,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Digital,OverDrive,AUDIOBOOK,2013,5,1,Going to Meet the Man (Unabridged),,James Baldwin,"Fiction, Short Stories","Blackstone Audio, Inc.",2011
Physical,Horizon,BOOK,2013,5,3,Another country / James Baldwin.,,"Baldwin, James, 1924-1987","Racism United States Fiction, Suicide Fiction, African Americans Social conditions Fiction, New York N Y Fiction","Vintage Books,",1993.
Physical,Horizon,BOOK,2013,5,2,One day when I was lost : a scenario based on Alex Haley's The autobiography of Malcolm X / James Baldwin.,,"Baldwin, James, 1924-1987",X Malcolm 1925 1965 Drama,"Vintage International,","2007, c1972."
Physical,Horizon,BOOK,2013,5,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
