quote,text,tweet_type,date
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" -James Baldwin #Ferguson",original,2014-08-15 16:26:48+00:00
ignorance allied with power,"Ignorance, allied with power, is the most ferocious enemy justice can have. James Baldwin #wisewords #BlackLivesMatter",original,2015-01-18 05:41:49+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" - James Baldwin #Ferguson #socialjustice #oppression",original,2014-11-25 02:53:48+00:00
ignorance allied with power,"James Baldwin: ""Ignorance, allied with power, is the most ferocious enemy justice can have."" #Ferguson #BlackLivesMatter",original,2014-11-25 03:30:25+00:00
ignorance allied with power,"So apropos right now, “Ignorance, allied with power, is the most ferocious enemy justice can have.” James Baldwin #Ferguson #FaveQuotes",original,2014-11-25 19:45:45+00:00
ignorance allied with power,"#JamesBaldwin #Ferguson If one really wishes to know how justice is administered in a country, one does not question the policemen 1/4",original,2014-11-25 14:36:23+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" ~James Baldwin~ || #StandUp #PoliceThePolice #BlackLivesMatter",original,2015-03-22 17:48:15+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" ~James Baldwin~ || #StandUp #PoliceThePolice #BlackLivesMatter",original,2015-04-25 02:25:35+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-10-30 16:37:11+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" ~James Baldwin~ #StandUp #BlackLivesMatter #EndPoliceBrutality",original,2015-04-20 02:31:31+00:00
ignorance allied with power,"It is certain in any case that ignorance, allied w/ power, is the most ferocious enemy justice can have-James Baldwin #Ferguson #BlackChurch",original,2014-11-12 16:18:42+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have""-James Baldwin. #Ferguson",original,2014-11-25 02:42:34+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-23 22:18:09+00:00
ignorance allied with power,"""It is certain in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ | #Ferguson",original,2015-03-17 03:24:28+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" ~James Baldwin~ #StandUp #BlackLivesMatter #EndPoliceBrutality",original,2015-04-15 03:42:58+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-23 06:01:34+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ | #Ferguson",original,2014-10-28 17:26:05+00:00
ignorance allied with power,"""Ignorance, allied with power, is the most ferocious enemy justice can have."" ~James Baldwin~ || #StandUp #PoliceThePolice #BlackLivesMatter",original,2015-03-10 05:38:16+00:00
ignorance allied with power,"""It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have."" ~ James Baldwin~ || #Ferguson",original,2014-11-01 03:40:31+00:00
